10,1,,,44799,179185,4587136
10,3,,,,,
10,50,,,1,0.250015347,0.009766225
10,50,,,,,
10,50,,,,,
10,50,,,,,
8,50,,,,,
8,50,,,,,
8,50,,,,,
8,50,,,,,
8,50,,,,,
8,50,,,,,
13,50,,,,,
13,50,,,,,
13,50,,,,,
13,50,,,,,
13,50,,,,,
13,50,,,,,
17,50,,,,,
17,50,,,,,
17,50,,,,,
17,50,,,,,
17,50,,,,,
17,50,,,,,
13,50,,,,,
13,50,,,,,
13,50,,,,,
13,50,,,,,
13,50,,,,,
13,50,,,,,
6,50,,,,,
6,50,,,,,
6,50,,,,,
6,50,,,,,
6,50,,,,,
6,50,,,,,
21,50,,,,,
21,50,,,,,
21,50,,,,,
21,50,,,,,
21,50,,,,,
21,50,,,,,
10,50,,,,,
10,50,,,,,
10,50,,,,,
10,50,,,,,
10,50,,,,,
10,50,,,,,
13,50,,,,,
13,50,,,,,
13,50,,,,,
13,50,,,,,
13,50,,,,,
13,50,,,,,
4,50,,,,,
4,50,,,,,
4,50,,,,,
4,50,,,,,
4,50,,,,,
4,50,,,,,
19,50,,,,,
19,50,,,,,
19,50,,,,,
19,50,,,,,
19,50,,,,,
19,50,,,,,
10,50,,,,,
10,50,,,,,
10,50,,,,,
10,50,,,,,
10,50,,,,,
10,50,,,,,
15,50,,,,,
15,50,,,,,
15,50,,,,,
15,50,,,,,
15,50,,,,,
15,50,,,,,
8,50,,,,,
8,50,,,,,
8,50,,,,,
8,50,,,,,
8,50,,,,,
8,50,,,,,
13,50,,,,,
13,50,,,,,
13,50,,,,,
13,50,,,,,
13,50,,,,,
13,50,,,,,
17,50,,,,,
17,50,,,,,
17,50,,,,,
17,50,,,,,
17,50,,,,,
17,50,,,,,
21,50,,,,,
21,50,,,,,
21,50,,,,,
21,50,,,,,
21,50,,,,,
21,50,,,,,
2,50,,,,,
2,50,,,,,
2,50,,,,,
2,50,,,,,
2,50,,,,,
2,50,,,,,
4,50,,,,,
4,50,,,,,
4,50,,,,,
4,50,,,,,
4,50,,,,,
4,50,,,,,
2,50,,,,,
2,50,,,,,
2,50,,,,,
2,50,,,,,
2,50,,,,,
2,50,,,,,
17,50,,,,,
17,50,,,,,
17,50,,,,,
17,50,,,,,
17,50,,,,,
17,50,,,,,
19,50,,,,,
19,50,,,,,
19,50,,,,,
19,50,,,,,
19,50,,,,,
19,50,,,,,
2,50,,,,,
2,50,,,,,
2,50,,,,,
2,50,,,,,
2,50,,,,,
2,50,,,,,
2,50,,,,,
2,50,,,,,
2,50,,,,,
2,50,,,,,
2,50,,,,,
2,50,,,,,
2,50,,,,,
2,50,,,,,
2,50,,,,,
2,50,,,,,
2,50,,,,,
2,50,,,,,
6,50,,,,,
6,50,,,,,
6,50,,,,,
6,50,,,,,
6,50,,,,,
6,50,,,,,
19,50,,,,,
19,50,,,,,
19,50,,,,,
19,50,,,,,
19,50,,,,,
19,50,,,,,
21,50,,,,,
21,50,,,,,
21,50,,,,,
21,50,,,,,
21,50,,,,,
21,50,,,,,
13,50,,,,,
